Movie Title,Movie Year,Movie Duration,Movie Genres,Movie Rating,Our Rating,Movie Description,Movie Stars,Movie Votes,Movie Image,Movie Video
Big Mouth,2017,30 min,"Animation, Comedy, Romance",7.9,NA,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas","78,994",https://m.media-amazon.com/images/M/MV5BYjcyMmYwNzEtNTgxYS00ZDVkLTg0YzEtNmUzNmQ1NzM2MzMxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi3210002201/1434659529640-260ouz-1580433029448.mp4?Expires=1668184709&Signature=XLTtsd8hLtrvpSie05Yo2RV9F1ObAD8fhvfi0zsdWj-xhqN0tCnquTsh4X-Mf2Ba6PrNfrZE4zmGGH0uB84CHR7ESpddYh0ZCTq-DmTO6Pk~0wVAyCSMJmvcjP5v6i0A9wWqEv4FacyltL3QuqpcADvzf1zkxGUPbQKCC287QLjRxhDr81sZ~izj5CNfcpyTGtDPhCKCHDii7dShuJZklOC8YX6BKmUktcwmYSw5EzNGQ3CmMdVPZtibJRnhEToItwvzNBp9mBy7iiAHCSfYZ-V2K0i2wj8vrUHo33ZRM0OntOKuWsXWho7E2eiyYnP9v9A1Bh~WTnAcQnTMxiX3Nw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Blockbuster,2022,30 min,Comedy,5.1,NA,"This comedy set in the last Blockbuster Video in America explores what, and who, makes a small business to succeed.","Randall Park, Melissa Fumero, Olga Merediz, Tyler Alvarez","3,165",https://m.media-amazon.com/images/M/MV5BNDMyNDczOTgtZTE5NC00NzAxLTkyNDktYmFhYjFlMjc0MDI4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi4004758809/1434659529640-260ouz-1665160431724.mp4?Expires=1668185601&Signature=c1V6XSFNPIAMeS6LrCygh9BNcqBf6F09j1m5O1S0LxqQWMtmgFMyLHeaiAu~n5SK1fGAzamr0ddE2olprjVJis9RJnEOMRQSlxyvyNLz-IWBSOMCnQhmmMOXaXkcVw2U9qZep2p2q6zQvfCvBL~5SsF5egt3GmnVTFeyxCynyDuJACJlmtNz4V-uYEbiL8iwOhgelhL4JwHyC0Ssfm6hY7TU38WHMqNnLxgpCqCt0OqTh4TPGx3zHRuQu1mPEERcVrMVW-LpUt8zkpmUNgKvihOeCCqyT7mhFcJgSEaEasmXmlbXHzfNuvU5bNG1dFtQ5mz8yoU1osR0YPZDNulEfA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Disenchanted,2022,NA,"Animation, Adventure, Comedy",NA,NA,"Ten years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.","Amy Adams, Alan Tudyk, James Marsden, Gabriella Baldacchino",NA,https://m.media-amazon.com/images/M/MV5BNDVhYjU1ZjUtNzI3Ni00Mzg5LWJhNGYtMjE3Y2FlZWY2Y2Y2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1637074201/1434659529640-260ouz-1667315915637.mp4?Expires=1668185605&Signature=G2~iYymG~H15Wh5Qcf9Rq9RL8B7JuTmuDOP1AjntAKQDOXVersCJK5vPs5cwEjLToHnWM9KY8qUstvychNyHRP4EcmI9r7R4ebJd4laYSkbvleB2S8lfMnriZTRyLbgScstcJADvxUZ5ctuy1vXgmpzslwBpd7NliU05mL7YQX-czc5rNE95Hnct37JshGw~ggnydhLsFR0qEilcW8GWSHh~~psr1ecWOaySPF8zWerhwt6Yg9hDciz6Qh4lURDoiyFRCxLhT6fzHvfgffoMQY6vugDnH5T8Z3LvjXOx7AdX4RgDxmXMNzUGsjY1V60KUm7PHBGeVb0afETy3lQqTw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Ticket to Paradise,2022,104 min,"Comedy, Romance",6.2,NA,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,"George Clooney, Sean Lynch, Julia Roberts, Arielle Carver-O'Neill","20,433",https://m.media-amazon.com/images/M/MV5BMWE0MmEwMWUtZjRjOC00YzE3LWI2MjctNjc3NWQ0YTVmNDQ4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi3821650457/1434659529640-260ouz-1656517069745.mp4?Expires=1668184715&Signature=NKeTs5mIu0wuH9VUdSzgLRNl9GH3Hm3YN3yB6RMJm7Zx1g~VmaWaD540P7dSe0JvuvPBT1dW9Epg6RN7aNfTyHMKNmHHKHqbMgNJlVXUrNZJq0chjtgNFGo-DHtnRpK2tGXAoxulm3G2CTHCXWGSn--SZ7FW3x85hXx52r20Sg~R5Y54DRkFoRCW6D9~aPmTAmhbaO3JFbiXE6pRvwxfM3WuS9FCAuinEWJy8Ud9QMbzqYg2IoPp4wJqqym-BqP7vHLzaOD1AyQWf3ZOwpAieplVMvPj9Zvf5mPSMCPLXAskG8kYGDIGY2hfTWpJwHgYofbBZY9i0IwjoA-IcX-IdA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Wendell & Wild,2022,105 min,"Animation, Adventure, Comedy",6.5,NA,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.","Lyric Ross, Keegan-Michael Key, Jordan Peele, Angela Bassett","4,958",https://m.media-amazon.com/images/M/MV5BMDZlMjcwZjMtYTQ3YS00N2IzLWI5ZWItZDY1YTMzZTE5YTFmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi2377565465/1434659529640-260ouz-1665412003242.mp4?Expires=1668185611&Signature=sq7kdq11NL07d9NQ7Tbp3n9SvA1cyBfdBvux62rveOc-1yrYxR1JcmUvdwxTAWgljhwcdi7p666MMk05maWBRThNd9g3yJ~NqcA66FlHNRPRSb99CxFvrrPtMEiYdQT4SqSpn3nXhQAbP-9oacgMDR6yJXwg-B5kH6JRTDTk7GN0eYrkS5-wFrNotUxnNBkCk4T~rB9Nof4QedVsXNnkV3YPoHQZ5z8GESrGi0kdDcMeDIPkEKVkYfIAwy5Oi~AbMIRukFcD6CmJXDinbfLHM1hKCTp2Fr2-Dc5vEzqezbHr75E1AeBicX85VzOI4x4XrgZdu1J7Bq8jAsWlCL3N1Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Triangle of Sadness,2022,147 min,"Comedy, Drama",7.9,NA,A fashion model celebrity couple join an eventful cruise for the super-rich.,"Harris Dickinson, Charlbi Dean, Woody Harrelson, Zlatko Buric","15,257",https://m.media-amazon.com/images/M/MV5BNDRiZjc0ZDMtMjhlYi00ZjAzLTg0MDQtZDI2NGEyYTBlN2M2XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi470467097/1434659529640-260ouz-1660061202888.mp4?Expires=1668185615&Signature=hOo3UMdp-DpMQFgwU73mrx0jdT8kA~dQrrPw4jNDHlgpnVjw66HJPTpLCZWRyQPkpieuJQ1MLik18VzkcxovFBt7carLHm4PYEtFbRDS8w5J87YqeRBS2w28j9Vz9vt8sdntwc7YHKzKe0HESrPzGKSgLh8Jijkz2BGZIUs6O7eaDnXC6lfFCxzZ~9sHi0uuX6fV3l4JRacjzazhOhf-By5rrD-sXBFIQcutQ2rq~gBnfLvJnNYh2Wh91wtN~olwdlCkx2Oht9tyndkrjXq4sfUVO2ij0sdd9qQ5tSyReJaeS72D8l6OI0LixEARueWe5~xWQmp8y7VQXufgFd29CA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Boys,2019,60 min,"Action, Comedy, Crime",8.7,NA,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty","490,589",https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY281_CR18,https://imdb-video.media-imdb.com/vi1553317657/1434659529640-260ouz-1568848037974.mp4?Expires=1668185620&Signature=mhaHppZWWN9USZWf-MNuh99bJYOFVPjD5wfo8~JuiG-8cBYvZqV26UrK5Byr22QPbV9271Yw9wBj63d3orIS8G8jNYKWvH0ZU1aJ0PDxI-d7G8uSfHRVUarWVDKOMkM9wEXDy3dE~T6sgnSAQyRWE2Z4ohpCH18-vA0R6FhYLtnD1LcRt7BiGrvHbZDZXO1WhOGKWBiFlXCLg9BlLzh5tJkc1FyxDWi-yA2wbq4-zb~mD-fjyj0Xf3i9lu~ytHRZL8WTTa~uWgbS57K2CwQ0wg~tT1sZtN-gmSPPVE9tLwcgal7pRgwAbNXtfvv45Q3FemmcOh~AlTb17DgdY1J1ZA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Beetlejuice,1988,92 min,"Comedy, Fantasy",7.5,NA,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.","Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe","305,688",https://m.media-amazon.com/images/M/MV5BZDdmNjBlYTctNWU0MC00ODQxLWEzNDQtZGY1NmRhYjNmNDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi4170302233/1434659529640-260ouz-1633318811796.mp4?Expires=1668185624&Signature=GW4pIplWVfZGLa4dHG9gesgD0rdOW1HMorqi5yXslVKLglhLE6oNyY1Udi18tW11tyRhiRYs~lzswO0PlczBVFM~y0HmR4RMh1jNZxr4zjAlZJfde~8QAOTN-mYweYdxZO0Zwy~dQxaA3VRb9oQnqu9Jufo3FDeI5WsiQT0aoAatU6x2izNmwCzI1zOZW6T4EVWVvR6RJaWxff4N9uWVv0ZJzh2s3ySrYaR3BR23sKlLWidcuk0zGPOy2KVPj2P5xhKNNGblgQqiYAhiaUBuYSs2xVkZlNyKJ9sp68DyK-nPGfA046VZYlgPMP9eOg1h89iAy9G2KTJEv8ePa0YafA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Chainsaw Man,2022,NA,"Animation, Action, Adventure",8.9,NA,"Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.","Kikunosuke Toya, Tomori Kusunoki, Ryan Colt Levy, Suzie Yeung","10,037",https://m.media-amazon.com/images/M/MV5BZjY5MDFhZTgtOGVhMi00NTUzLTk5NjktNmRlMjI3NjI4MmE0XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY281_CR0,https://imdb-video.media-imdb.com/vi3244278297/1434659529640-260ouz-1663684001368.mp4?Expires=1668185627&Signature=RXrD7BvGQrCG3QmrnXZtXVrRUtGAByulgdmefGJmMZLCrUH8f13ls3GKN0ZSqMmd3EuDgEyufwiKO-lNHveaEWHoFr35S0Tqcjwf5fBencPVFy3k--iY3t~wEkGYCNZm8~7~QjRExFDWSYmVck0VWVibXzb8N-3bOqBzl97G35Be38JXU2n38ZjkJpUApoKmSlUXy1KbMAeO3GCKMl1aMMES1ZPsJbSRHnfGRjepOp92fjtCt4Ufllwbm8LtekVlGoYU6CjI-4omn1lar9OzaeDEeJ59dn1DWmT7B4s0x2z3WMmSasuquLRQbr4RNStEsYs5GjzNJYn95fKTtOqslw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Rick and Morty,2013,23 min,"Animation, Adventure, Comedy",9.2,NA,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","514,481",https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1993588505/1434659529640-260ouz-1572898371337.mp4?Expires=1668185630&Signature=d5wTKPC-1C0ZfiaXTQDwQ5bKvcRMKamBuojOH7m3mNd7tQuuAd-yDnVTIi6pXTsjBefSj0hOEAno8xT5jY8WLABrsWoqw7l9ic27KHdyGtzS8k~j8m2cJ8IPoYjMb1ns3HRd70vg9f6CmhYQKBFucsMx1adNr~zLWKfLdKINPK8EFMmrr5yt2ZfPNxwkqlg7NkeeQ9qS8KiKkvemufpCUEATFwtLaFVjfMHYIkoBYjfoRBs~rX5p~-pkUO3-we-mGqBDTTYtjXctiyRKxKlSfUFU9Twdy0D78DPAZJDFE8YjPMGJMt1Yk3VlIv6Wo6YUOdaAihne1OA8jFBIjwDZvw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Amsterdam,2022,134 min,"Comedy, Drama, History",6.2,NA,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.","Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola","16,066",https://m.media-amazon.com/images/M/MV5BNDQwNzE0ZTItYmZjMC00NjI3LWFlNzctNTExZDY2NWE0Zjc0XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1647559193/1434659529640-260ouz-1657120880840.mp4?Expires=1668185633&Signature=qqyiyfmQdnYMQ13VhOFSKjsd~~U5xwBTmNElK~sBA533QOaLTcxN7YDw69fODZgZWq~mAM0mfSdy6CSyOhpT6ZZb4TUW6oIq8p70g8aqCWsPQo238RoWDOJoclMsAPYdb39eRQ0ZBIEvldylCQNxtytetpwH3dLHbV-4d1ViWP8JmyTziyvBGLoaJ0gdWUAcFpd-Pe1qa8XwfkyGmC3VQcgh3KnK3Ah8Py9gzKDG7PhJd8aFeqGhLybF9udE0V4JeQjrKSai6DpFqj85lQaX7CtHpCUeVhKYr0yyYkH3GbQU4hJTxv169rCGjrt4yH-138a3WVTN2WgY2FV1zH5w7Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
